Known As,Full Name,Overall,Latest Award,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Full Image,Age,Height(in cm),Weight(in kg),Club Name,Wage(in Euro),Release Clause,Club Position,Preferred Foot,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Penalties
Kim Sang Won,Sang Won Kim,63,,425000,"LWB,LB,LM",LWB,Korea Republic,https://cdn.sofifa.net/players/222/618/23_60.png,,30,176,69,Suwon FC,2000,531000,SUB,Left,-,-,-,-,High,Medium,76,52,59,47
Lee Ju Yong,Ju Yong Lee,63,,425000,"LB,LWB",LB,Korea Republic,https://cdn.sofifa.net/players/221/859/23_60.png,,29,180,78,Incheon United FC,2000,0,RES,Left,-,-,-,-,High,Medium,81,58,56,55
A. Forde,Anthony Forde,63,,425000,"RWB,CM",RM,Republic of Ireland,https://cdn.sofifa.net/players/205/582/23_60.png,,28,180,82,Wrexham AFC,500,914000,RWB,Right,-,-,-,-,High,Low,73,60,63,59
G. Francomb,George Francomb,63,,425000,"RWB,CM,CB",RWB,England,https://cdn.sofifa.net/players/197/990/23_60.png,,30,181,73,Crawley Town,3000,744000,SUB,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High,60,56,61,57
A. Burbano,Andy Burbano,63,,425000,"RB,RM",RB,Ecuador,https://cdn.sofifa.net/players/258/261/23_60.png,,28,176,78,Delfín Sporting Club,500,914000,RB,Right,-,https://cdn.sofifa.net/flags/ec.png,-,-,Medium,Medium,80,52,57,46
M. Haakenstad,Mats Haakenstad,63,,425000,"RB,LB",RB,Norway,https://cdn.sofifa.net/players/202/117/23_60.png,,28,183,73,Sandefjord Fotball,1000,531000,RB,Right,-,https://cdn.sofifa.net/flags/no.png,-,-,Medium,Medium,80,49,52,29
T. Schwede,Tobias Schwede,63,,425000,"LWB,LM",LWB,Germany,https://cdn.sofifa.net/players/238/981/23_60.png,,28,182,73,1. FC Saarbrücken,2000,616000,SUB,Left,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,77,53,58,42
D. Widgren,Dennis Widgren,63,,425000,"LWB,CB,LB",LWB,Sweden,https://cdn.sofifa.net/players/231/500/23_60.png,,28,180,77,IK Sirius,1000,531000,LWB,Left,-,https://cdn.sofifa.net/flags/se.png,-,-,Medium,Medium,67,45,59,45
S. Rafn,Simen Rafn,63,,425000,"RWB,LWB",RWB,Norway,https://cdn.sofifa.net/players/191/730/23_60.png,,30,172,70,Aalesunds FK,1000,531000,LWB,Right,-,https://cdn.sofifa.net/flags/no.png,-,-,High,Medium,76,48,60,42
E. Zejnullahu,Eroll Zejnullahu,62,,425000,"CM,CAM,CDM",CM,Kosovo,https://cdn.sofifa.net/players/212/997/23_60.png,,27,180,74,SpVgg Bayreuth,600,616000,SUB,Right,-,-,-,-,Medium,Medium,71,57,61,49
M. Neubauer,Maurice Neubauer,62,,425000,LB,LB,Germany,https://cdn.sofifa.net/players/269/302/23_60.png,,26,180,73,SV Elversberg,550,648000,LB,Left,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,65,32,54,38
N. Klinger,Niklas Klinger,62,,425000,GK,GK,Germany,https://cdn.sofifa.net/players/233/211/23_60.png,,26,187,84,VfL Wolfsburg,6000,754000,RES,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,59,60,63,11
D. Connolly,Dylan Connolly,62,,425000,RW,RW,Republic of Ireland,https://cdn.sofifa.net/players/212/106/23_60.png,,27,176,69,Morecambe,2000,744000,SUB,Right,-,-,-,-,Medium,Medium,91,53,54,60
P. Marie,Paul Marie,62,,425000,"RB,LB",RB,France,https://cdn.sofifa.net/players/243/126/23_60.png,,27,173,69,San Jose Earthquakes,1000,669000,SUB,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,70,47,52,34
E. Nefiz,Emre Nefiz,62,,425000,"RB,LM,RM",CAM,Turkey,https://cdn.sofifa.net/players/210/570/23_60.png,,27,178,70,Ümraniyespor,3000,861000,SUB,Right,-,https://cdn.sofifa.net/flags/tr.png,-,-,High,Medium,74,63,62,50
B. Killip,Ben Killip,62,,425000,GK,GK,England,https://cdn.sofifa.net/players/213/677/23_60.png,,26,188,74,Hartlepool United,2000,776000,GK,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,61,61,57,20
A. Nadesan,Ashley Nadesan,62,,425000,ST,ST,England,https://cdn.sofifa.net/players/234/412/23_60.png,,27,188,70,Crawley Town,3000,744000,RW,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,82,59,50,57
M. Hilßner,Marcel Hilßner,62,,425000,"RW,LM,CDM",RW,Germany,https://cdn.sofifa.net/players/231/197/23_60.png,,27,183,80,Coventry City,5000,808000,RES,Left,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,57,65,63,56
B. Waters,Billy Waters,62,,425000,"RM,ST",RM,England,https://cdn.sofifa.net/players/212/006/23_60.png,,27,173,73,Barrow,2000,744000,RM,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,85,59,54,52
Wang Jinxian,Jinxian Wang,62,,425000,"RM,RW",RM,China PR,https://cdn.sofifa.net/players/224/546/23_60.png,,26,175,70,Changchun Yatai FC,2000,659000,SUB,Right,-,-,-,-,Low,High,80,48,55,40
A. Zendejas,Adrián Zendejas,62,,425000,GK,GK,United States,https://cdn.sofifa.net/players/229/433/23_60.png,,26,196,84,Charlotte FC,1000,648000,RES,Right,-,https://cdn.sofifa.net/flags/us.png,-,-,Medium,Medium,66,61,59,24
F. Ferrero,Facundo Ferrero,62,,425000,GK,GK,Argentina,https://cdn.sofifa.net/players/261/173/23_60.png,,26,185,82,Club Atlético Sarmiento,2000,648000,RES,Right,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium,64,62,59,10
M. Feil,Manuel Feil,62,,425000,RM,RM,Germany,https://cdn.sofifa.net/players/269/310/23_60.png,,27,169,67,SV Elversberg,600,616000,RM,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,82,57,56,49
O. Khan,Otis Khan,62,,425000,"RM,RB",RM,England,https://cdn.sofifa.net/players/222/463/23_60.png,,26,170,71,Grimsby Town,2000,744000,SUB,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,80,54,57,57
D. Wright,Drey Wright,62,,425000,"RWB,RM,RW",RM,England,https://cdn.sofifa.net/players/208/999/23_60.png,,27,175,69,St. Johnstone FC,1000,776000,RWB,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,79,55,57,54
O. Piri,Onurcan Piri,62,,425000,GK,GK,Turkey,https://cdn.sofifa.net/players/223/174/23_60.png,,27,190,82,GZT Giresunspor,2000,861000,GK,Right,-,https://cdn.sofifa.net/flags/tr.png,-,-,Medium,Medium,64,61,60,28
F. Fumu Tamuzo,François-Xavier Fumu Tamuzo,62,,425000,"RM,LM,CM",RW,France,https://cdn.sofifa.net/players/222/923/23_60.png,,27,180,73,Stade Lavallois Mayenne FC,1000,744000,SUB,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Low,88,56,51,53
M. Estol,Mauro Estol,62,,425000,CM,CM,Uruguay,https://cdn.sofifa.net/players/261/695/23_60.png,,27,167,73,Montevideo Wanderers,500,914000,SUB,Right,-,https://cdn.sofifa.net/flags/uy.png,-,-,Medium,Medium,61,63,66,68
O. Evans,Owen Evans,62,,425000,GK,GK,Wales,https://cdn.sofifa.net/players/230/893/23_60.png,,25,188,70,Walsall,2000,776000,GK,Right,-,https://cdn.sofifa.net/flags/gb-wls.png,-,-,Medium,Medium,63,61,66,30
Ma Zhen,Zhen Ma,62,,425000,GK,GK,China PR,https://cdn.sofifa.net/players/250/978/23_60.png,,24,196,85,Shanghai Shenhua FC,2000,691000,SUB,Right,-,-,-,-,Medium,Medium,61,59,55,8
J. Aspropotamitis,Jonathan Aspropotamitis,62,,425000,CB,CB,Australia,https://cdn.sofifa.net/players/228/191/23_60.png,,26,188,76,Macarthur FC,950,563000,CB,Right,-,https://cdn.sofifa.net/flags/au.png,-,-,Medium,Medium,61,29,50,38
N. Knystock,Nico Knystock,62,,425000,"LB,LWB",LB,Germany,https://cdn.sofifa.net/players/224/862/23_60.png,,26,165,66,VfB Oldenburg,500,648000,SUB,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,High,72,44,56,46
D. Voltan,Davide Voltan,62,,425000,"RW,LW",RW,Italy,https://cdn.sofifa.net/players/215/361/23_60.png,,27,177,71,Südtirol,850,659000,RES,Right,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium,67,60,60,49
I. Rădescu,Ionuț Rădescu,62,,425000,"RWB,RW",RWB,Romania,https://cdn.sofifa.net/players/257/758/23_60.png,,27,176,73,CS Mioveni,1000,606000,SUB,Right,-,https://cdn.sofifa.net/flags/ro.png,-,-,High,Medium,70,59,59,63
J. Gordon,Josh Gordon,62,,425000,ST,RM,England,https://cdn.sofifa.net/players/239/504/23_60.png,,27,178,70,Barrow,2000,744000,ST,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,High,79,59,55,58
M. Feigenspan,Mike Feigenspan,62,,425000,"RM,LM,ST",RM,Germany,https://cdn.sofifa.net/players/238/480/23_60.png,,26,180,75,SV Meppen,700,616000,SUB,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,83,59,55,58
J. Soltvedt,Joachim Soltvedt,62,,425000,"LB,LWB,LM",LB,Norway,https://cdn.sofifa.net/players/225/251/23_60.png,,26,188,77,Sarpsborg 08 FF,950,563000,SUB,Left,-,https://cdn.sofifa.net/flags/no.png,-,-,High,Medium,70,54,56,52
Kim Han Gil,Han Gil Kim,62,,425000,"LM,LWB,RM",LM,Korea Republic,https://cdn.sofifa.net/players/237/977/23_60.png,,27,178,65,Sangju Sangmu FC,1000,531000,LB,Left,-,-,-,-,High,Medium,78,54,48,50
K. Onsrud,Kristian Onsrud,62,,425000,CM,CM,Norway,https://cdn.sofifa.net/players/267/688/23_60.png,,27,186,80,Hamarkameratene,950,531000,SUB,Left,-,https://cdn.sofifa.net/flags/no.png,-,-,Medium,Medium,53,56,57,35
C. Odoi-Atsem,Chris Odoi-Atsem,62,,425000,"RB,CB,LB",RB,United States,https://cdn.sofifa.net/players/237/220/23_60.png,,27,178,68,D.C. United,1000,669000,SUB,Right,-,https://cdn.sofifa.net/flags/us.png,-,-,Medium,Medium,75,42,56,49
M. Southam-Hales,Macauley Southam-Hales,62,,425000,RWB,RWB,Wales,https://cdn.sofifa.net/players/223/940/23_60.png,,26,175,69,Stockport County,3000,776000,SUB,Right,-,https://cdn.sofifa.net/flags/gb-wls.png,-,-,High,Medium,77,45,52,46
T. Abdullah,Tareq Abdullah,62,,425000,RB,RB,Saudi Arabia,https://cdn.sofifa.net/players/235/493/23_60.png,,26,170,64,Al Taawoun,4000,733000,RB,Right,-,https://cdn.sofifa.net/flags/sa.png,-,-,Medium,Medium,68,30,50,37
T. Beadling,Tom Beadling,62,,425000,"CDM,CB",CDM,England,https://cdn.sofifa.net/players/225/467/23_60.png,,26,186,80,Western Sydney Wanderers,2000,563000,SUB,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High,63,53,55,47
D. Lippert,Dennis Lippert,62,,425000,LB,LB,Germany,https://cdn.sofifa.net/players/237/500/23_60.png,,26,172,63,SpVgg Bayreuth,550,648000,LB,Left,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,66,31,48,28
J. Moe,Jeppe Arctander Moe,62,,425000,LWB,LWB,Norway,https://cdn.sofifa.net/players/233/445/23_60.png,,26,185,73,Aalesunds FK,850,563000,SUB,Left,-,https://cdn.sofifa.net/flags/no.png,-,-,High,Medium,66,35,57,38
A. Gabrielloni,Alessandro Gabrielloni,62,,425000,ST,ST,Italy,https://cdn.sofifa.net/players/268/674/23_60.png,,27,178,78,Como,850,680000,RES,Right,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,High,71,62,46,62
R. Haynes,Ryan Haynes,62,,425000,"LB,LWB",LB,England,https://cdn.sofifa.net/players/213/889/23_60.png,,26,184,68,Northampton Town,4000,776000,SUB,Left,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,High,72,53,57,57
Zhong Yihao,Yihao Zhong,62,,425000,"LWB,LM,RM",LWB,China PR,https://cdn.sofifa.net/players/243/088/23_60.png,,26,178,75,Henan Songshan Longmen FC,2000,691000,SUB,Right,-,-,-,-,Medium,Medium,79,56,54,52
D. Happe,Dan Happe,61,,425000,CB,CB,England,https://cdn.sofifa.net/players/238/179/23_60.png,,23,195,85,Leyton Orient,2000,776000,CB,Left,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,55,28,42,30
S. Almadjed,Sumar Almadjed,61,,425000,CM,CM,Sweden,https://cdn.sofifa.net/players/266/056/23_60.png,,26,183,76,Helsingborgs IF,750,563000,SUB,Right,-,https://cdn.sofifa.net/flags/se.png,-,-,Medium,Medium,68,55,62,52
A. Angulo,Anderson Angulo,61,,425000,CB,CB,Colombia,https://cdn.sofifa.net/players/243/004/23_60.png,,26,188,80,Club Deportes Tolima,750,627000,RES,Right,-,https://cdn.sofifa.net/flags/co.png,-,-,Medium,Medium,64,26,37,31
J. Löffelsend,Jasper Löffelsend,61,,425000,"CDM,RM",CDM,Germany,https://cdn.sofifa.net/players/268/349/23_60.png,,24,180,75,Real Salt Lake,1000,648000,CDM,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,High,High,63,41,59,43
N. Konstandopoulos,Nathan Konstandopoulos,61,,425000,CM,CM,Australia,https://cdn.sofifa.net/players/221/528/23_60.png,,26,180,78,Melbourne Victory,2000,563000,SUB,Right,-,https://cdn.sofifa.net/flags/au.png,-,-,Medium,Medium,74,50,59,43
M. Foulds,Matty Foulds,61,,425000,LB,CB,England,https://cdn.sofifa.net/players/227/854/23_60.png,,24,178,75,Bradford City,3000,776000,SUB,Left,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,69,26,52,34
H. Hevel,Hector Hevel,61,,425000,"CAM,RM,CM",CAM,Netherlands,https://cdn.sofifa.net/players/225/657/23_60.png,,26,172,64,FC Andorra,1000,691000,RM,Left,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Medium,69,58,59,58
R. Arnold,Remo Arnold,61,,425000,"CDM,CB",CB,Switzerland,https://cdn.sofifa.net/players/228/874/23_60.png,,25,190,83,FC Winterthur,1000,648000,SUB,Right,-,https://cdn.sofifa.net/flags/ch.png,-,-,Medium,High,50,35,53,45
W. Jääskeläinen,Will Jääskeläinen,61,,425000,GK,GK,Finland,https://cdn.sofifa.net/players/230/000/23_60.png,,23,183,73,AFC Wimbledon,1000,829000,SUB,Left,-,https://cdn.sofifa.net/flags/fi.png,-,-,Medium,Medium,61,59,61,20
R. Macek,Roman Macek,61,,425000,"CM,CAM",CAM,Czech Republic,https://cdn.sofifa.net/players/237/317/23_60.png,,25,188,75,FC Lugano,2000,648000,SUB,Right,-,https://cdn.sofifa.net/flags/cz.png,-,-,High,Medium,63,56,62,52
E. Holt,Erik Holt,61,,425000,CB,CB,United States,https://cdn.sofifa.net/players/247/323/23_60.png,,25,185,84,Real Salt Lake,1000,648000,SUB,Right,-,https://cdn.sofifa.net/flags/us.png,-,-,Low,Medium,50,28,45,33
D. Mboumbouni,Dylan Mboumbouni,61,,425000,CB,CB,Central African Republic,https://cdn.sofifa.net/players/226/863/23_60.png,,26,182,75,FK Jerv,800,563000,SUB,Right,-,-,-,-,Medium,High,51,32,46,46
S. Power,Simon Power,61,,425000,RM,RM,Republic of Ireland,https://cdn.sofifa.net/players/242/984/23_60.png,,24,178,67,Shamrock Rovers,650,691000,SUB,Right,-,-,-,-,High,Low,87,52,55,52
A. Kamardin,Aaron Kamardin,61,,425000,CB,CB,Comoros,https://cdn.sofifa.net/players/256/801/23_60.png,,20,183,72,Olympique de Marseille,4000,839000,RES,Right,-,-,-,-,Low,Medium,67,29,41,39
M. Pepić,Mirnes Pepić,61,,425000,"CM,CDM,CAM",RM,Montenegro,https://cdn.sofifa.net/players/219/449/23_60.png,,26,178,79,SV Meppen,650,648000,CDM,Right,-,-,-,-,Medium,Medium,59,53,58,48
R. Kamber,Robin Kamber,61,,425000,"CM,CDM",CM,Switzerland,https://cdn.sofifa.net/players/222/524/23_60.png,,26,187,82,Górnik Zabrze,2000,606000,SUB,Right,-,https://cdn.sofifa.net/flags/ch.png,-,-,Medium,Medium,66,61,63,54
A. Stone,Aidan Stone,61,,425000,GK,GK,England,https://cdn.sofifa.net/players/243/594/23_60.png,,22,186,75,Port Vale,1000,829000,SUB,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,64,58,60,12
K. Riis,Kristian Dirks Riis,61,,425000,CB,CB,Denmark,https://cdn.sofifa.net/players/234/629/23_60.png,,25,189,84,Lyngby BK,2000,563000,SUB,Right,-,https://cdn.sofifa.net/flags/dk.png,-,-,Medium,Medium,54,40,46,39
C. O'Toole,Connor O'Toole,61,,425000,LB,LWB,Australia,https://cdn.sofifa.net/players/233/932/23_60.png,,24,175,70,Sydney FC,1000,563000,SUB,Left,-,https://cdn.sofifa.net/flags/au.png,-,-,Medium,Medium,77,32,50,30
R. Horj,Răzvan Horj,61,,425000,CB,CB,Romania,https://cdn.sofifa.net/players/248/445/23_60.png,,26,189,81,Petrolul Ploiești,1000,606000,RES,Right,-,https://cdn.sofifa.net/flags/ro.png,-,-,Medium,Medium,58,29,46,34
D. Leahy,Darragh Leahy,61,,425000,LB,LWB,Republic of Ireland,https://cdn.sofifa.net/players/233/375/23_60.png,,24,185,72,Dundalk FC,600,691000,LB,Left,-,-,-,-,Medium,High,66,50,56,53
Gonçalo Pinto,Gonçalo Pinto,61,,425000,GK,GK,Portugal,https://cdn.sofifa.net/players/271/535/23_60.png,,22,194,90,GD Chaves,950,956000,RES,Right,-,https://cdn.sofifa.net/flags/pt.png,-,-,Medium,Medium,61,64,61,17
T. Bradbury,Tom Bradbury,61,,425000,CB,CB,England,https://cdn.sofifa.net/players/247/518/23_60.png,,24,190,86,Cheltenham Town,1000,776000,SUB,Left,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,63,34,42,37
Oh In Pyo,In Pyo Oh,61,,425000,"RM,RB",ST,Korea Republic,https://cdn.sofifa.net/players/233/185/23_60.png,,25,178,68,Ulsan Hyundai FC,2000,584000,SUB,Right,-,-,-,-,Medium,Medium,66,61,52,60
C. Harkin,Ciaron Harkin,61,,425000,"CM,CDM",CM,Northern Ireland,https://cdn.sofifa.net/players/228/292/23_60.png,,26,180,75,Derry City,650,691000,RES,Right,-,-,-,-,Medium,Medium,53,55,63,43
J. Umerah,Josh Umerah,61,,425000,ST,ST,England,https://cdn.sofifa.net/players/230/900/23_60.png,,25,185,80,Hartlepool United,2000,776000,ST,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,74,58,45,56
Zhang Xiuwei,Xiuwei Zhang,61,,425000,"CM,CDM",CM,China PR,https://cdn.sofifa.net/players/241/335/23_60.png,,26,173,63,Guangzhou FC,2000,691000,SUB,Right,-,-,-,-,Medium,Medium,78,54,57,39
L. Franco,Luis Franco,61,,425000,GK,GK,Paraguay,https://cdn.sofifa.net/players/254/399/23_60.png,,22,190,80,Club Sol de América,500,999000,SUB,Right,-,https://cdn.sofifa.net/flags/py.png,-,-,Medium,Medium,60,61,58,11
T. White,Tom White,61,,425000,"CM,CDM",CM,England,https://cdn.sofifa.net/players/252/862/23_60.png,,25,178,74,Barrow,2000,776000,SUB,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,63,53,58,50
O. Zanzala,Offrande Zanzala,61,,425000,ST,ST,Congo,https://cdn.sofifa.net/players/227/997/23_60.png,,25,185,72,Newport County,3000,776000,ST,Right,-,-,-,-,Medium,Medium,69,59,46,61
P. Trujillo,Pedro Trujillo,60,,425000,GK,GK,Peru,https://cdn.sofifa.net/players/265/434/23_60.png,,22,165,60,Cienciano,500,999000,SUB,Right,-,https://cdn.sofifa.net/flags/pe.png,-,-,Medium,Medium,61,58,60,12
M. Ferrel,Manuel Ferrel,60,,425000,GK,GK,Bolivia,https://cdn.sofifa.net/players/265/175/23_60.png,,20,178,75,Club Deportivo Guabirá,500,999000,SUB,Right,-,-,-,-,Medium,Medium,61,61,58,16
Lee Gwang Yeon,Gwang Yeon Lee,60,,425000,GK,GK,Korea Republic,https://cdn.sofifa.net/players/251/157/23_60.png,,22,184,85,Gangwon FC,800,616000,SUB,Right,-,-,-,-,Medium,Medium,59,58,54,14
W. Hernández,Wilbert Hernández,60,,425000,GK,GK,Venezuela,https://cdn.sofifa.net/players/256/186/23_60.png,,21,185,82,Caracas Fútbol Club,500,999000,SUB,Right,-,https://cdn.sofifa.net/flags/ve.png,-,-,Medium,Medium,61,57,61,20
N. Lübcke,Niklas Lübcke,60,,425000,GK,GK,Germany,https://cdn.sofifa.net/players/269/864/23_60.png,,22,187,84,Borussia Dortmund II,550,701000,GK,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,62,60,58,9
J. Briceño,Jesús Briceño,60,,425000,GK,GK,Venezuela,https://cdn.sofifa.net/players/267/696/23_60.png,,24,180,82,Deportivo La Guaira FC,500,999000,SUB,Right,-,https://cdn.sofifa.net/flags/ve.png,-,-,Medium,Medium,58,61,55,20
T. Stahl,Toni Stahl,60,,425000,GK,GK,Germany,https://cdn.sofifa.net/players/269/560/23_60.png,,22,194,80,Hannover 96,3000,765000,SUB,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,61,59,61,10
I. Dramé,Issiar Dramé,59,,425000,CB,CB,France,https://cdn.sofifa.net/players/264/743/23_60.png,,23,197,80,SC Bastia,850,829000,RES,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,67,26,40,32
P. Tschernuth,Paul Tschernuth,59,,425000,GK,GK,Austria,https://cdn.sofifa.net/players/262/922/23_60.png,,20,186,84,1. FC Heidenheim 1846,2000,744000,RES,Right,-,https://cdn.sofifa.net/flags/at.png,-,-,Medium,Medium,60,61,60,19
B. Scott,Brady Scott,59,,425000,GK,GK,United States,https://cdn.sofifa.net/players/241/091/23_60.png,,23,187,78,Columbus Crew,850,723000,RES,Right,-,https://cdn.sofifa.net/flags/us.png,-,-,Medium,Medium,64,59,60,12
T. Malbec,Tidiane Malbec,59,,425000,GK,GK,France,https://cdn.sofifa.net/players/262/708/23_60.png,,20,185,72,FC Annecy,500,829000,RES,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,60,62,60,18
C. Seaman,Charlie Seaman,59,,425000,"RB,RM",RB,England,https://cdn.sofifa.net/players/243/766/23_60.png,,22,173,64,Doncaster Rovers,3000,829000,SUB,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,75,48,52,53
K. Chung,Kadin Chung,59,,425000,"RB,RM,LB",RB,Canada,https://cdn.sofifa.net/players/267/821/23_60.png,,23,175,68,Toronto FC,1000,723000,SUB,Right,-,https://cdn.sofifa.net/flags/ca.png,-,-,Medium,Medium,70,41,50,32
D. Ingham,Dane Ingham,59,,425000,"RB,LB",RM,New Zealand,https://cdn.sofifa.net/players/237/714/23_60.png,,23,186,73,Newcastle Jets,500,616000,SUB,Right,-,https://cdn.sofifa.net/flags/nz.png,-,-,Medium,Medium,83,42,52,34
O. Younger,Oliver Younger,59,,425000,"CB,RB",CB,England,https://cdn.sofifa.net/players/243/281/23_60.png,,22,183,70,Doncaster Rovers,3000,829000,SUB,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,51,33,37,46
O. Toledo,Oscar Toledo,59,,425000,GK,GK,Paraguay,https://cdn.sofifa.net/players/259/705/23_60.png,,23,182,77,Guaireña FC,500,999000,SUB,Right,-,https://cdn.sofifa.net/flags/py.png,-,-,Medium,Medium,61,61,59,16
C. De Schrevel,Celestin De Schrevel,59,,425000,GK,GK,Belgium,https://cdn.sofifa.net/players/257/789/23_60.png,,20,187,79,KAA Gent,2000,723000,RES,Right,-,https://cdn.sofifa.net/flags/be.png,-,-,Medium,Medium,64,54,53,10
Choi Ji Moog,Ji Moog Choi,59,,425000,"LB,CB",LB,Korea Republic,https://cdn.sofifa.net/players/256/388/23_60.png,,23,178,66,Seongnam FC,800,616000,CB,Left,-,-,-,-,Medium,High,66,30,52,39
M. Bobjerg,Marcus Bobjerg,59,,425000,GK,GK,Denmark,https://cdn.sofifa.net/players/234/471/23_60.png,,24,188,76,AC Horsens,1000,616000,SUB,Right,-,https://cdn.sofifa.net/flags/dk.png,-,-,Medium,Medium,59,58,56,15
Á. De La Cruz,Ángel De La Cruz,59,,425000,GK,GK,Peru,https://cdn.sofifa.net/players/270/939/23_60.png,,20,196,85,Club Alianza Lima,500,1000000,RES,Right,-,https://cdn.sofifa.net/flags/pe.png,-,-,Medium,Medium,61,58,60,18
C. Bayiha,Clément Bayiha,59,,425000,"RWB,RM",RWB,Canada,https://cdn.sofifa.net/players/245/087/23_60.png,,23,173,70,Hamarkameratene,650,616000,SUB,Right,-,https://cdn.sofifa.net/flags/ca.png,-,-,High,Medium,76,47,52,34
M. Ros,Marius Ros,58,,425000,RB,RB,France,https://cdn.sofifa.net/players/271/128/23_60.png,,20,176,75,Pau FC,650,829000,RES,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,67,30,38,40
N. Cissé,Nadjib Cissé,58,,425000,CB,CB,Mali,https://cdn.sofifa.net/players/264/685/23_60.png,,21,188,79,US Quevilly Rouen Métropole,700,829000,RES,Left,-,-,-,-,Medium,Medium,52,28,40,31
Hwang Jae Won,Jae Won Hwang,58,,425000,RWB,RWB,Korea Republic,https://cdn.sofifa.net/players/266/789/23_60.png,,19,180,73,Daegu FC,700,616000,RES,Right,-,-,-,-,Medium,Medium,66,34,41,35
F. Marschall,Filip Marschall,58,,425000,GK,GK,England,https://cdn.sofifa.net/players/268/583/23_60.png,,19,195,87,Aston Villa,3000,1100000,RES,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,58,56,61,18
T. Stenshagen,Teodor Stenshagen,58,,425000,CB,CB,Sweden,https://cdn.sofifa.net/players/266/027/23_60.png,,21,186,80,GIF Sundsvall,500,616000,SUB,Right,-,https://cdn.sofifa.net/flags/se.png,-,-,Medium,Medium,61,34,45,42
O. Nkambadio,Obed Nkambadio,58,,425000,GK,GK,France,https://cdn.sofifa.net/players/255/266/23_60.png,,19,185,78,Paris FC,500,1000000,RES,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,59,54,53,17
L. Collins,Lewis Collins,58,,425000,ST,CAM,Wales,https://cdn.sofifa.net/players/240/927/23_60.png,,21,178,75,Newport County,2000,829000,SUB,Right,-,https://cdn.sofifa.net/flags/gb-wls.png,-,-,Medium,Medium,82,56,50,50
C. Johnston,Carl Johnston,58,,425000,"RB,CM",RM,Northern Ireland,https://cdn.sofifa.net/players/256/439/23_60.png,,20,175,64,Fleetwood Town,1000,829000,SUB,Right,-,-,-,-,Medium,Medium,73,47,54,52
O. McEntee,Oisín McEntee,58,,425000,CB,CB,Republic of Ireland,https://cdn.sofifa.net/players/253/111/23_60.png,,21,190,78,Walsall,2000,829000,RES,Right,-,-,-,-,Medium,Medium,59,31,40,41
